,uuid,OBJECTID,count
0,00009999-0000-1000-8000-00177a000002,8986,9
1,00009999-0000-1000-8000-00177a000002,8996,7
2,00009999-0000-1000-8000-00177a000002,9003,3
3,00009999-0000-1000-8000-00177a000002,9023,30
4,00009999-0000-1000-8000-00177a000002,9052,3
5,00009999-0000-1000-8000-00177a000002,9061,16
6,00009999-0000-1000-8000-00177a000002,9088,48
7,00009999-0000-1000-8000-00177a000002,9125,163
8,00009999-0000-1000-8000-00177a000002,9139,270
9,00009999-0000-1000-8000-00177a000002,9207,33
10,00009999-0000-1000-8000-00177a000002,9245,28
11,00009999-0000-1000-8000-00177a000002,9394,32
12,00009999-0000-1000-8000-00177a000002,9509,118
13,00009999-0000-1000-8000-00177a000002,9534,176
14,00009999-0000-1000-8000-00177a000002,9541,293
15,00009999-0000-1000-8000-00177a000002,9549,71
16,00009999-0000-1000-8000-00177a000002,9558,82
17,00009999-0000-1000-8000-00177a000002,9560,96
18,00009999-0000-1000-8000-00177a000002,9569,112
19,00009999-0000-1000-8000-00177a000002,9594,15
20,00009999-0000-1000-8000-00177a000002,9605,597
21,00009999-0000-1000-8000-00177a000002,9608,45
22,00009999-0000-1000-8000-00177a000002,9610,22
23,00009999-0000-1000-8000-00177a000002,9613,2
24,00009999-0000-1000-8000-00177a000002,9615,1
25,00009999-0000-1000-8000-00177a000002,9620,4
26,00009999-0000-1000-8000-00177a000002,9639,2
27,00009999-0000-1000-8000-00177a000002,10071,1
28,00009999-0000-1000-8000-00177a000002,11558,196
29,00009999-0000-1000-8000-00177a000002,11561,15
30,00009999-0000-1000-8000-00177a000002,12043,117
31,00009999-0000-1000-8000-00177a000002,12044,52
32,00009999-0000-1000-8000-00177a000002,12048,161
33,00009999-0000-1000-8000-00177a000002,12049,79
34,00009999-0000-1000-8000-00177a000002,12054,4
35,00009999-0000-1000-8000-00177a000002,12061,12
36,00009999-0000-1000-8000-00177a000002,12150,12
37,00014422-d102-11e1-9b23-00025b00a5a5,9558,32
38,000170a0-79dc-4457-8175-c2a3de60b80b,9561,53
39,00ce1c6a-0f3e-4ba4-955a-69f997ba4aa4,9558,431
40,01059016-c1e6-3da5-7b81-eb84d9860645,9605,55
41,010e5daf-960b-43da-b605-89d5f040b217,9139,3
42,03040000-2aae-4d26-ad62-03e9a8637ebd,9266,236
